"Date","Price","Open","High","Low","Vol.","Change %"
"07/18/2024","2,204.2","2,252.4","2,265.4","2,186.8","","-2.15%"
"07/17/2024","2,252.7","2,262.1","2,284.6","2,233.8","","-0.42%"
"07/16/2024","2,262.1","2,198.7","2,269.7","2,190.7","","2.88%"
"07/15/2024","2,198.8","2,161.9","2,203.2","2,158.6","","1.71%"
"07/14/2024","2,161.9","2,155.2","2,162.1","2,154.7","","0.53%"
"07/12/2024","2,150.4","2,135.8","2,169.6","2,133.9","","0.66%"
"07/11/2024","2,136.2","2,051.8","2,139.2","2,048.4","","4.11%"
"07/10/2024","2,051.8","2,032.8","2,054.2","2,031.1","","0.93%"
"07/09/2024","2,032.8","2,044.6","2,048.3","2,023.0","","-0.57%"
"07/08/2024","2,044.5","2,019.4","2,055.2","2,018.8","","1.24%"
"07/07/2024","2,019.5","2,021.5","2,022.1","2,019.2","","-0.19%"
"07/05/2024","2,023.3","2,030.2","2,043.7","2,015.0","","-0.32%"
"07/04/2024","2,029.8","2,034.7","2,035.0","2,027.5","","-0.24%"
"07/03/2024","2,034.6","2,031.0","2,045.8","2,027.9","","0.19%"
"07/02/2024","2,030.7","2,025.0","2,036.0","2,012.5","","0.28%"
"07/01/2024","2,025.0","2,044.7","2,055.9","2,017.8","","-0.96%"
"06/30/2024","2,044.7","2,045.8","2,050.9","2,043.8","","-0.12%"
"06/28/2024","2,047.2","2,041.8","2,061.3","2,027.3","","0.28%"
"06/27/2024","2,041.4","2,010.2","2,041.5","2,007.2","","1.56%"
"06/26/2024","2,010.1","2,019.2","2,023.4","2,003.2","","-0.46%"
"06/25/2024","2,019.4","2,030.4","2,036.5","2,014.0","","-0.52%"
"06/24/2024","2,029.9","2,021.2","2,043.8","2,011.2","","0.43%"
"06/23/2024","2,021.3","2,022.3","2,023.7","2,021.1","","0.01%"
"06/21/2024","2,021.0","2,019.0","2,022.8","2,001.8","","0.10%"
"06/20/2024","2,019.0","2,024.5","2,037.0","2,010.5","","-0.27%"
"06/19/2024","2,024.5","2,027.2","2,028.2","2,018.7","","-0.13%"
"06/18/2024","2,027.2","2,025.3","2,035.8","2,012.8","","0.09%"
"06/17/2024","2,025.4","2,004.5","2,028.0","1,991.8","","1.05%"
"06/16/2024","2,004.4","2,023.2","2,023.8","2,003.8","","0.15%"
"06/14/2024","2,001.4","2,032.8","2,034.3","1,995.2","","-1.55%"
"06/13/2024","2,033.0","2,054.2","2,069.9","2,022.1","","-1.02%"
"06/12/2024","2,054.0","2,021.9","2,091.1","2,020.1","","1.58%"
"06/11/2024","2,022.0","2,026.8","2,031.2","1,999.7","","-0.24%"
"06/10/2024","2,026.9","2,018.5","2,031.8","2,000.3","","0.42%"
"06/09/2024","2,018.4","2,021.2","2,022.6","2,017.9","","-0.33%"
"06/07/2024","2,025.1","2,050.4","2,054.3","2,015.8","","-1.23%"
"06/06/2024","2,050.3","2,061.1","2,063.2","2,042.1","","-0.52%"
"06/05/2024","2,061.1","2,035.2","2,063.8","2,029.3","","1.28%"
"06/04/2024","2,035.0","2,055.1","2,058.6","2,027.2","","-0.95%"
"06/03/2024","2,054.6","2,075.8","2,096.2","2,042.5","","-1.03%"
"06/02/2024","2,075.9","2,075.7","2,077.2","2,070.8","","0.18%"
"05/31/2024","2,072.2","2,050.6","2,074.5","2,041.0","","1.07%"
"05/30/2024","2,050.2","2,029.3","2,061.9","2,021.8","","1.03%"
"05/29/2024","2,029.3","2,057.5","2,059.3","2,027.8","","-1.37%"
"05/28/2024","2,057.4","2,076.8","2,082.9","2,051.6","","-0.93%"
"05/27/2024","2,076.8","2,064.9","2,083.8","2,063.5","","0.58%"
"05/26/2024","2,064.9","2,068.2","2,069.3","2,063.9","","-0.10%"
"05/24/2024","2,067.0","2,046.6","2,068.8","2,046.2","","0.97%"
"05/23/2024","2,047.1","2,079.9","2,091.3","2,035.6","","-1.57%"
"05/22/2024","2,079.8","2,098.8","2,100.6","2,071.2","","-0.90%"
"05/21/2024","2,098.7","2,099.6","2,102.3","2,082.8","","-0.04%"
"05/20/2024","2,099.6","2,098.1","2,107.8","2,089.2","","0.09%"
"05/19/2024","2,097.8","2,096.3","2,099.2","2,095.2","","0.20%"
"05/17/2024","2,093.7","2,092.7","2,098.0","2,086.5","","0.06%"
"05/16/2024","2,092.5","2,108.3","2,112.2","2,091.3","","-0.74%"
"05/15/2024","2,108.2","2,088.4","2,121.3","2,083.5","","0.94%"
"05/14/2024","2,088.5","2,060.9","2,092.0","2,049.7","","1.34%"
"05/13/2024","2,060.8","2,055.1","2,079.9","2,054.1","","0.29%"
"05/12/2024","2,054.8","2,053.8","2,055.6","2,053.6","","0.10%"
"05/10/2024","2,052.8","2,073.2","2,083.7","2,049.2","","-0.98%"
"05/09/2024","2,073.2","2,050.0","2,074.2","2,041.8","","1.13%"
"05/08/2024","2,050.1","2,060.4","2,061.8","2,039.3","","-0.50%"
"05/07/2024","2,060.3","2,059.5","2,075.9","2,056.7","","0.04%"
"05/06/2024","2,059.5","2,036.8","2,062.8","2,034.9","","1.12%"
"05/05/2024","2,036.7","2,039.0","2,041.5","2,036.1","","0.05%"
"05/03/2024","2,035.7","2,012.8","2,056.8","2,006.6","","1.15%"
"05/02/2024","2,012.6","1,990.8","2,017.7","1,979.3","","1.08%"
"05/01/2024","1,991.1","1,970.3","2,018.2","1,959.5","","1.09%"
"04/30/2024","1,969.7","2,011.3","2,013.5","1,965.7","","-2.08%"
"04/29/2024","2,011.5","2,006.8","2,020.2","2,001.1","","0.25%"
"04/28/2024","2,006.5","2,005.4","2,006.6","2,002.2","","0.21%"
"04/26/2024","2,002.2","1,973.3","2,004.1","1,970.7","","1.44%"
"04/25/2024","1,973.7","1,991.9","2,009.2","1,951.9","","-0.91%"
"04/24/2024","1,991.9","2,002.7","2,005.0","1,980.2","","-0.54%"
"04/23/2024","2,002.8","1,969.5","2,009.5","1,960.0","","1.71%"
"04/22/2024","1,969.2","1,956.2","1,979.2","1,944.8","","0.66%"
"04/21/2024","1,956.2","1,953.0","1,956.3","1,950.1","","0.46%"
"04/19/2024","1,947.2","1,936.8","1,958.0","1,900.0","","0.53%"
"04/18/2024","1,936.9","1,948.8","1,971.3","1,935.4","","-0.60%"
"04/17/2024","1,948.5","1,973.7","1,984.8","1,943.2","","-1.28%"
"04/16/2024","1,973.8","1,972.8","1,978.1","1,949.5","","0.06%"
"04/15/2024","1,972.6","2,017.1","2,019.5","1,966.3","","-2.17%"
"04/14/2024","2,016.4","2,008.8","2,018.9","2,004.5","","0.60%"
"04/12/2024","2,004.4","2,040.8","2,046.3","1,994.0","","-1.80%"
"04/11/2024","2,041.2","2,017.4","2,047.7","2,001.3","","1.18%"
"04/10/2024","2,017.4","2,081.8","2,093.9","2,008.2","","-3.09%"
"04/09/2024","2,081.8","2,069.7","2,085.6","2,060.2","","0.58%"
"04/08/2024","2,069.7","2,064.8","2,079.3","2,051.8","","0.25%"
"04/07/2024","2,064.5","2,067.7","2,068.1","2,063.6","","0.19%"
"04/05/2024","2,060.5","2,054.2","2,072.1","2,037.3","","0.31%"
"04/04/2024","2,054.2","2,077.3","2,100.1","2,046.0","","-1.10%"
"04/03/2024","2,077.1","2,059.7","2,082.2","2,045.0","","0.84%"
"04/02/2024","2,059.8","2,099.2","2,104.4","2,047.2","","-1.87%"
"04/01/2024","2,099.1","2,140.8","2,140.9","2,094.6","","-1.94%"
"03/31/2024","2,140.6","2,136.2","2,140.9","2,132.9","","0.96%"
"03/28/2024","2,120.2","2,110.6","2,136.8","2,107.5","","0.45%"
"03/27/2024","2,110.7","2,072.7","2,117.3","2,072.1","","1.83%"
"03/26/2024","2,072.7","2,078.8","2,093.1","2,066.6","","-0.30%"
"03/25/2024","2,078.9","2,070.2","2,086.8","2,064.2","","0.43%"
"03/24/2024","2,070.0","2,068.6","2,070.3","2,066.0","","0.11%"
"03/22/2024","2,067.8","2,103.2","2,106.9","2,066.5","","-1.68%"
"03/21/2024","2,103.2","2,083.8","2,107.6","2,079.8","","0.91%"
"03/20/2024","2,084.2","2,033.3","2,086.1","2,022.9","","2.51%"
"03/19/2024","2,033.1","2,024.0","2,040.5","2,007.6","","0.45%"
"03/18/2024","2,023.9","2,038.0","2,051.2","2,022.2","","-0.69%"
"03/17/2024","2,038.0","2,041.0","2,041.7","2,036.1","","-0.01%"
"03/15/2024","2,038.2","2,030.5","2,044.5","2,025.1","","0.39%"
"03/14/2024","2,030.3","2,074.1","2,081.1","2,015.4","","-2.12%"
"03/13/2024","2,074.2","2,061.7","2,080.9","2,056.6","","0.61%"
"03/12/2024","2,061.7","2,072.9","2,082.8","2,048.1","","-0.54%"
"03/11/2024","2,072.9","2,080.7","2,087.5","2,062.1","","-0.38%"
"03/10/2024","2,080.8","2,103.9","2,104.6","2,076.8","","-0.19%"
"03/08/2024","2,084.8","2,085.4","2,119.2","2,065.8","","-0.01%"
"03/07/2024","2,085.0","2,062.4","2,096.3","2,055.3","","1.09%"
"03/06/2024","2,062.5","2,054.1","2,077.1","2,050.2","","0.41%"
"03/05/2024","2,054.1","2,067.3","2,075.3","2,046.5","","-0.63%"
"03/04/2024","2,067.2","2,073.2","2,093.7","2,067.2","","-0.28%"
"03/03/2024","2,073.0","2,072.5","2,077.8","2,070.9","","0.19%"
"03/01/2024","2,069.0","2,049.4","2,078.9","2,041.9","","0.96%"
"02/29/2024","2,049.3","2,036.3","2,080.3","2,034.5","","0.63%"
"02/28/2024","2,036.4","2,054.2","2,055.4","2,035.6","","-0.87%"
"02/27/2024","2,054.2","2,029.0","2,059.3","2,024.2","","1.24%"
"02/26/2024","2,029.1","2,018.1","2,033.5","2,006.3","","0.54%"
"02/25/2024","2,018.3","2,017.5","2,020.8","2,014.5","","0.16%"
"02/23/2024","2,015.1","2,010.5","2,028.8","1,997.1","","0.23%"
"02/22/2024","2,010.5","1,998.8","2,014.5","1,992.5","","0.60%"
"02/21/2024","1,998.5","2,004.4","2,006.8","1,978.2","","-0.30%"
"02/20/2024","2,004.5","2,017.2","2,021.9","1,995.0","","-0.63%"
"02/19/2024","2,017.2","2,034.9","2,037.5","2,016.2","","-0.86%"
"02/18/2024","2,034.8","2,033.8","2,037.7","2,033.5","","0.24%"
"02/16/2024","2,029.9","2,056.7","2,062.9","2,025.5","","-1.30%"
"02/15/2024","2,056.7","2,014.3","2,064.1","2,010.2","","2.10%"
"02/14/2024","2,014.3","1,964.7","2,014.7","1,962.0","","2.50%"
"02/13/2024","1,965.1","2,046.8","2,051.3","1,945.3","","-3.99%"
"02/12/2024","2,046.8","2,014.7","2,053.8","2,009.9","","1.61%"
"02/11/2024","2,014.3","2,010.9","2,018.7","2,010.0","","0.21%"
"02/09/2024","2,010.0","1,981.0","2,014.8","1,976.8","","1.47%"
"02/08/2024","1,980.8","1,945.2","1,981.5","1,939.4","","1.81%"
"02/07/2024","1,945.5","1,953.6","1,963.5","1,937.0","","-0.41%"
"02/06/2024","1,953.6","1,932.2","1,956.1","1,925.6","","1.10%"
"02/05/2024","1,932.4","1,955.2","1,958.2","1,916.7","","-1.17%"
"02/04/2024","1,955.2","1,958.5","1,960.3","1,954.3","","-0.02%"
"02/02/2024","1,955.5","1,972.9","1,977.8","1,940.2","","-0.89%"
"02/01/2024","1,973.0","1,949.1","1,975.5","1,930.5","","1.23%"
"01/31/2024","1,949.0","1,998.0","2,007.5","1,941.5","","-2.45%"
"01/30/2024","1,998.0","2,009.0","2,013.5","1,987.4","","-0.55%"
"01/29/2024","2,009.0","1,969.0","2,011.0","1,967.6","","2.04%"
"01/28/2024","1,968.8","1,972.3","1,972.4","1,968.3","","-0.32%"
"01/26/2024","1,975.2","1,977.1","1,995.6","1,970.8","","-0.09%"
"01/25/2024","1,977.0","1,960.2","1,992.5","1,957.8","","0.86%"
"01/24/2024","1,960.2","1,979.0","2,004.2","1,955.3","","-0.95%"
"01/23/2024","1,979.1","1,987.1","2,003.7","1,967.2","","-0.40%"
"01/22/2024","1,987.0","1,946.7","1,987.7","1,943.3","","2.08%"
"01/21/2024","1,946.6","1,944.5","1,948.5","1,943.9","","0.28%"
"01/19/2024","1,941.2","1,925.5","1,944.0","1,907.6","","0.80%"
"01/18/2024","1,925.7","1,909.3","1,927.7","1,897.3","","0.86%"
"01/17/2024","1,909.3","1,926.2","1,926.5","1,889.7","","-0.88%"
"01/16/2024","1,926.3","1,946.3","1,946.4","1,916.2","","-1.03%"
"01/15/2024","1,946.3","1,944.7","1,955.7","1,935.9","","0.05%"
"01/14/2024","1,945.3","1,947.3","1,947.8","1,942.9","","-0.10%"
"01/12/2024","1,947.2","1,951.2","1,987.8","1,942.3","","-0.21%"
"01/11/2024","1,951.2","1,970.8","1,986.6","1,929.5","","-0.99%"
"01/10/2024","1,970.8","1,967.0","1,972.6","1,947.8","","0.20%"
